CountryKey;Department;Total Revenues;Total Spend
AA;APP;1586.415459;5425.873995
AA;BM;3399.3019;19444.31933
AA;DEA;145.019802;270.5714286
AA;SEM;1699.917526;3387.038327
AA;SEO;1398.925373;0
AE;APP;3992.664835;2120.415452
AE;BM;8499.220778;6397.374909
AE;DEA;613.5085715;921.3804807
AE;SEM;3441.407868;5866.971431
AE;SEO;2520.385576;0
ALL;APP;278976.8823;86622.82801
ALL;BM;3237120;3327715.597
ALL;DEA;408698.5075;448953.6882
ALL;SEM;2018979.506;1976679.742
ALL;SEO;548607.3438;0
AR;APP;296.5414966;26.96870748
AR;BM;4885.809052;12806.88071
AR;DEA;771.9944519;1032.87544
AR;SEM;2146.241983;4314.342013
AR;SEO;822.2608696;0
AT;APP;2839.368132;261.9292787
AT;BM;39225.67033;42909.08543
AT;DEA;2466.202091;3059.275405
AT;SEM;35062.26214;41306.05834
AT;SEO;7186.857144;0
AU;APP;10805.94345;5052.160448
AU;BM;113626.5846;78398.0448
AU;DEA;11061.55556;13056.16071
AU;SEM;54607.22208;64431.04712
AU;SEO;28494.8313;0
BE;APP;1298.463246;71.54451348
BE;BM;20167.71428;24198.01673
BE;DEA;4506.122449;6143.458646
BE;SEM;18989.44877;16986.49099
BE;SEO;3803.212435;0
BG;APP;44.33090379;0.140786749
BG;BM;1445.782313;2187.484594
BG;DEA;0.685714286;0
BG;SEM;2246.869565;3618.281429
BG;SEO;379.0868925;0
BR;APP;6314.42498;2099.075958
BR;BM;84083.44344;61114.83077
BR;DEA;4397.631068;7406.513694
BR;SEM;42962.64935;47000.95431
BR;SEO;10430.35714;0
CA;APP;8935.782383;5711.185567
CA;BM;152228.6098;98025.76727
CA;DEA;13147.05306;12793.60784
CA;SEM;77087.0041;87962.34483
CA;SEO;15513.3111;0
CH;APP;4094.854314;209.5472528
CH;BM;40433.09143;32878.85306
CH;DEA;2418.857143;2751.879234
CH;SEM;36516.14079;42713.61612
CH;SEO;8247.323617;0
CL;APP;131.2139373;83.57142859
CL;BM;1338.121167;697.8061224
CL;DEA;247.8606965;321.2490651
CL;SEM;1365.839375;3497.888971
CL;SEO;273.1958763;0
CN;APP;472.7653061;76.00844478
CN;BM;320.5714286;4199.232409
CN;DEA;0.532938564;0
CN;SEM;208.5994398;1537.346939
CN;SEO;80.29015544;0
CO;APP;490.668516;88.75072888
CO;BM;7134.897751;15829.02913
CO;DEA;471.6020942;618.1286461
CO;SEM;3400.744047;6343.004418
CO;SEO;1068.174927;0
CZ;APP;218.9168443;79.43141438
CZ;BM;4028;1253.15122
CZ;DEA;542.5184093;663.1632652
CZ;SEM;4821.77959;6413.797281
CZ;SEO;391.3509015;0
DE;APP;36549.9505;4893.3
DE;BM;401325.3467;276215.3365
DE;DEA;67047.9243;58868
DE;SEM;329573.0471;305406.4841
DE;SEO;83621.49223;0
DK;APP;2559.030303;302.7252747
DK;BM;32332.09239;23948.09852
DK;DEA;4208.917839;6359.531665
DK;SEM;28213.083;35510.65581
DK;SEO;4202.411483;0
ES;APP;9840.621762;1782.550824
ES;BM;161471.0623;138373.9727
ES;DEA;36146.52814;24914.57565
ES;SEM;129579.9889;127953.7316
ES;SEO;62515.02855;0
FI;APP;1212.022409;72.71936188
FI;BM;44188.60254;26347.44828
FI;DEA;3288.574216;4719.239011
FI;SEM;14349.23077;15304.23529
FI;SEO;9528.817585;0
FR;APP;5637.518035;1484.686261
FR;BM;64322.98764;85942.2857
FR;DEA;13481.26786;18303.60082
FR;SEM;66845.01923;65192.03725
FR;SEO;16217.86066;0
GR;APP;353.6443148;0.915395284
GR;BM;7998.79762;13158.60224
GR;DEA;1770.704762;1733.71986
GR;SEM;7813.858505;8304.091889
GR;SEO;4237.329446;0
HK;APP;20271.42037;126.1714286
HK;BM;62646.55172;58021.17703
HK;DEA;9041.394523;10284.09862
HK;SEM;14630.45685;19507.25714
HK;SEO;5713.319531;0
HR;APP;0.131868132;0
HR;BM;0.568467802;0
HR;DEA;0;0
HR;SEM;0;0
HR;SEO;0;0
HU;APP;130.7316017;0.312993539
HU;BM;3680.492221;6000.455446
HU;DEA;521.6941854;500.1941748
HU;SEM;8236.006903;10131.40736
HU;SEO;520.7510205;0
ID;APP;771.0144928;257.0364146
ID;BM;1981.137114;9956.571429
ID;DEA;278.3179487;365.2268907
ID;SEM;265.9296482;567.6097201
ID;SEO;161.1731602;0
IE;APP;3527.98311;32.11180124
IE;BM;48915.07737;21806.72006
IE;DEA;5541.25;8207.677145
IE;SEM;31989.45455;41859.24308
IE;SEO;14287.61345;0
IL;APP;1113.937636;382.3852168
IL;BM;10465.18202;12202.93333
IL;DEA;1000.233236;1204.190476
IL;SEM;15794.82872;21250.57143
IL;SEO;1127.55102;0
IN;APP;2013.900205;1041.142857
IN;BM;14459.13462;54498.42168
IN;DEA;18.24965326;0
IN;SEM;9447.964284;14382.94118
IN;SEO;1867.516484;0
IT;APP;15581.34791;4328.4375
IT;BM;153827.0925;145632.3107
IT;DEA;28727.43446;29477.68163
IT;SEM;114132.8731;115828.0882
IT;SEO;27808.66939;0
JP;APP;1747.597668;384.6374731
JP;BM;9716.654096;50159.88771
JP;DEA;758.6109892;1176.513457
JP;SEM;8189.639024;12878.57592
JP;SEO;5236.063965;0
KR;APP;810.0219779;211.0769231
KR;BM;2153.208791;7629.688313
KR;DEA;243.9491398;411.7142857
KR;SEM;3217.797909;6632.249457
KR;SEO;237.7450549;0
MX;APP;1631.842177;990.808599
MX;BM;20584.9;43534.50368
MX;DEA;1609.924812;2811.781513
MX;SEM;13787.02656;22163.75446
MX;SEO;4299.361997;0
MY;APP;5430.634764;2437.356077
MY;BM;18262.26667;28197.36646
MY;DEA;1594.630212;2072.321775
MY;SEM;6529.136938;10908.17404
MY;SEO;5332.850242;0
NL;APP;3456.135338;1161.254356
NL;BM;38542.20896;55924.94607
NL;DEA;10809.88571;15454.27674
NL;SEM;45232.46356;49921.37491
NL;SEO;6382.453779;0
NO;APP;1273.227143;164.7721612
NO;BM;27763.21428;29951.9251
NO;DEA;3620.540816;5107.857144
NO;SEM;23294.31652;23506.64081
NO;SEO;1906.723434;0
NZ;APP;1682.804693;734.6333567
NZ;BM;27429.67619;16079.48544
NZ;DEA;3155.229437;3587.197213
NZ;SEM;15972.1875;16310.53227
NZ;SEO;4555.399303;0
PH;APP;120.6307799;287.9396985
PH;BM;330.3940887;702.533798
PH;DEA;7.036075035;0
PH;SEM;627.8757763;1143.376623
PH;SEO;110.0314286;0
PL;APP;590.2714285;74.13861386
PL;BM;20578.56395;32056.06272
PL;DEA;2039.061422;2453.428571
PL;SEM;14622.53968;14398.68793
PL;SEO;6542.59226;0
PT;APP;738.1306533;38.10274455
PT;BM;14010.73188;12256.2449
PT;DEA;2097.965157;1929.830228
PT;SEM;15577.46483;14597.97429
PT;SEO;4875.332362;0
RO;APP;114.4114286;0
RO;BM;1422.074534;1654.640345
RO;DEA;0.861407249;0
RO;SEM;4464.603997;7119.370599
RO;SEO;261.4840085;0
RS;APP;12.09274495;0
RS;BM;692.0799409;2847.641747
RS;DEA;295.1620029;310.8599168
RS;SEM;1775.937951;2937.803572
RS;SEO;438.7431532;0
RU;APP;1575.122449;2060.610264
RU;BM;7718.165854;18885.20192
RU;DEA;608.8260252;1316.434524
RU;SEM;4525.633508;9393.615665
RU;SEO;866.5948932;0
SE;APP;4329.010556;329.4091249
SE;BM;52916.71427;48694.20494
SE;DEA;4573.205742;6453.916608
SE;SEM;40491.9403;44677.14582
SE;SEO;5656.275663;0
SG;APP;6927.666667;1674.209424
SG;BM;35090.37242;32772.94851
SG;DEA;3879.179767;4445.341615
SG;SEM;9168.738462;13499.55102
SG;SEO;8369.159832;0
SI;APP;47.79220779;0
SI;BM;1028.768473;2366.624023
SI;DEA;450.4190476;289.0811199
