CountryKey;Department;Total Revenues;Total Spend
AA;APP;1341.55081;4545.21115
AA;BM;2417.254902;6009.813667
AA;DEA;3429.465839;2153.142857
AA;SEM;4067.835052;5160.396901
AA;SEO;963.5581737;0
AE;APP;4901.714286;751.3109245
AE;BM;7820.259742;2909.346939
AE;DEA;823.3333333;1308.486563
AE;SEM;5943.740131;8190.195409
AE;SEO;1205.038462;0
ALL;APP;242864.7805;72011.88119
ALL;BM;1664481.986;1097566.763
ALL;DEA;423833.2401;425530.1298
ALL;SEM;1420766.969;1606079.429
ALL;SEO;272656.32;0
AR;APP;1729.517857;536.4
AR;BM;31575.56044;26822.13333
AR;DEA;7246.046177;6220.43299
AR;SEM;21356.08928;29997.07511
AR;SEO;3431.965542;0
AT;APP;2198.125264;316.4543554
AT;BM;17033.56055;13938.18304
AT;DEA;3121.535181;3857.454545
AT;SEM;22650.75297;21530.12121
AT;SEO;3859.602094;0
AU;APP;11606.15108;2264.405348
AU;BM;71371.15715;149923.8753
AU;DEA;11922.75;12446.65757
AU;SEM;64490.23834;65014.49896
AU;SEO;19255.38635;0
BE;APP;1360;586.1266567
BE;BM;15617.8882;7371.870397
BE;DEA;3032.786408;4605.60396
BE;SEM;18645.03948;16442.97668
BE;SEO;2531.978231;0
BG;APP;50.63212435;11.74764322
BG;BM;692.4134615;15.00666173
BG;DEA;486.6952381;777.6730769
BG;SEM;2229.246484;3073.212121
BG;SEO;178.3186813;0
BR;APP;17726.02901;7355.838143
BR;BM;115149.2205;94614.46637
BR;DEA;14139.66272;18149.53968
BR;SEM;84535.61806;72632.45712
BR;SEO;14735.56044;0
CA;APP;8303.177145;2337.455357
CA;BM;74995.05314;16324.10955
CA;DEA;20741.58367;16211.44652
CA;SEM;69557.29412;77220.56845
CA;SEO;6896.621605;0
CH;APP;3675.777942;791.0294118
CH;BM;24420.22111;6597.375258
CH;DEA;1904.011042;2393.55
CH;SEM;32651.21121;31041.72027
CH;SEO;4339.005831;0
CL;APP;336.4329897;111.8829268
CL;BM;3896.080622;7557.091995
CL;DEA;516.5742161;765.2588832
CL;SEM;3119.16035;6068.15534
CL;SEO;407.6043956;0
CN;APP;714.8319328;71.53846154
CN;BM;627.9203298;12952.17282
CN;DEA;7.74369748;0
CN;SEM;854.142132;4981.963091
CN;SEO;61.3313388;0
CO;APP;1492.521429;580.7230321
CO;BM;10250.3445;20442.68687
CO;DEA;1790.474314;1408.229665
CO;SEM;10905.11278;15148.11429
CO;SEO;2129.428572;0
CZ;APP;130.4175824;10.71012483
CZ;BM;2228.793343;2859.837143
CZ;DEA;163.8634146;263.3519164
CZ;SEM;1886.473389;2442.628019
CZ;SEO;334.2885858;0
DE;APP;29494.03498;3328.925436
DE;BM;218733.9658;30106.66472
