CountryKey;Department;Total Revenues;Total Spend
AA;APP;2556.350037;889.5790198
AA;BM;6890.547264;23040.90247
AA;DEA;2262.985423;2849.154286
AA;SEM;13197.04433;22728.47713
AA;SEO;2066.683417;0
AE;APP;7229.92109;2248.897959
AE;BM;15715.75893;12288.80721
AE;DEA;1612.172822;1908.423645
AE;SEM;5349.230769;7582.617877
AE;SEO;3132.714286;0
ALL;APP;359432.1726;78688.82708
ALL;BM;3568795.856;4054076.019
ALL;DEA;536087.125;715541.0762
ALL;SEM;3042009.873;3081727.777
ALL;SEO;549459.1398;0
AR;APP;604.8571428;0.639526277
AR;BM;12383.94089;14928.46377
AR;DEA;2123.629268;2509.866383
AR;SEM;8095.212204;17144.38806
AR;SEO;1502.459237;0
AT;APP;3264.964286;702.9186603
AT;BM;44336.7629;65920.50332
AT;DEA;4111.701364;5460.109116
AT;SEM;51523.80955;43095.69297
AT;SEO;7519.715767;0
AU;APP;12144.23645;3626.125833
AU;BM;84071.27273;69209.28925
AU;DEA;11877.89116;12856.07767
AU;SEM;61762.17145;60986.36948
AU;SEO;23621.82692;0
BE;APP;2250.099379;1226.304853
BE;BM;26053.36134;32970.18438
BE;DEA;6121.142857;9242.499263
BE;SEM;28898.15257;28332.57576
BE;SEO;4014.121167;0
BG;APP;188.6785714;0
BG;BM;3536.907724;8471.184067
BG;DEA;6.48241206;0
BG;SEM;6267.652428;8153.283643
BG;SEO;678.4241985;0
BR;APP;5741.982505;4.347231716
BR;BM;52380.06924;76229.08545
BR;DEA;4971.616285;6986.323529
BR;SEM;52214.00449;59673.5657
BR;SEO;9560.735294;0
CA;APP;15864.21326;8391.375552
CA;BM;232825.7408;190767.6952
CA;DEA;22889.82688;22237.63597
CA;SEM;152116.7642;132447.7592
CA;SEO;20202.96036;0
CH;APP;4539.520408;834.0559945
CH;BM;32615.79592;57151.38542
CH;DEA;3086.461309;4097.010309
CH;SEM;42845.71428;41487.15789
CH;SEO;5955.980583;0
CL;APP;143.621978;0.689655172
CL;BM;1695.253589;1888.808036
CL;DEA;293.522409;539.1442372
CL;SEM;1721.722488;3514.282967
CL;SEO;204.4430642;0
CN;APP;1034.764626;0
CN;BM;710.0515464;4366.042644
CN;DEA;2.103092784;0
CN;SEM;207.0505494;1654.300072
CN;SEO;370.1464829;0
CO;APP;596.7761194;0
CO;BM;6663.852813;19945.6377
CO;DEA;929.5205576;1029.920635
CO;SEM;4966.994764;7648.571431
CO;SEO;1046.538462;0
CZ;APP;263.2121212;0
CZ;BM;5775.75;12786.95833
CZ;DEA;533.5873014;990.7015707
CZ;SEM;4058.107872;6751.896106
CZ;SEO;768.3173077;0
DE;APP;35386.29958;3882.2
DE;BM;364394.6245;332228.0598
DE;DEA;66847.82915;86874.28719
DE;SEM;372381.0586;323682.8325
DE;SEO;61882.18587;0
DK;APP;2579.61809;575.6712898
DK;BM;25624.18182;32289.95262
DK;DEA;3358.356021;4166.074405
DK;SEM;29389.70335;32110.52405
DK;SEO;4129.21875;0
ES;APP;16470.8658;2949.878173
ES;BM;241984.265;146393.1223
ES;DEA;54278.63749;55298.44335
ES;SEM;206374.068;196006.8
ES;SEO;56719.595;0
FI;APP;1197.72583;106.1877157
FI;BM;34112.73232;50869.27083
FI;DEA;2500.801932;3423.522388
FI;SEM;16116.82715;17073.95637
FI;SEO;6753.921569;0
FR;APP;10795.38192;2089.736724
FR;BM;137220.8969;161923.078
FR;DEA;33267.10268;50297.04263
FR;SEM;149776.6768;152027.2391
FR;SEO;33567.94198;0
GR;APP;482.3135888;0
GR;BM;10461.24542;7920.919508
GR;DEA;1571.664355;2117.621465
GR;SEM;14409.83211;13239.60116
GR;SEO;6842.876389;0
HK;APP;23402.12698;3922.695831
HK;BM;42089.69388;42793.81099
HK;DEA;6635.169601;9781.571428
HK;SEM;12241.16505;18834.82216
HK;SEO;3866.552011;0
HR;APP;26.68188512;0
HR;BM;598.2149662;1842.734286
HR;DEA;86.90476193;36.7445055
HR;SEM;53.31010454;185.2974465
HR;SEO;23.00518135;0
HU;APP;144.8229665;0
HU;BM;5321.650959;9177.733609
HU;DEA;1000;1462.597403
HU;SEM;10554.50495;12302.44898
HU;SEO;551.1961722;0
ID;APP;754.2512563;0
ID;BM;1734.189055;8657.018503
ID;DEA;272.9774436;679.0525539
ID;SEM;1155.762637;1995.064935
ID;SEO;129.0882986;0
IE;APP;4773.869347;1069.564494
IE;BM;49916.54134;23937.88654
IE;DEA;11887.8342;12079.81049
IE;SEM;39804.7343;45304.28572
IE;SEO;11192.81551;0
IL;APP;4029.104856;2781.573582
IL;BM;19321.12255;15357.97479
IL;DEA;2835.808036;4656.706389
IL;SEM;26961.74525;38462.71428
IL;SEO;1248.590574;0
IN;APP;2122.785021;0
IN;BM;12707.31034;67841.14288
IN;DEA;12.37725382;0
IN;SEM;8392.55102;13462.08746
IN;SEO;2029.285714;0
IT;APP;25895.94118;6806.760417
IT;BM;245951.0481;292859.2208
IT;DEA;61368.37715;52845.14706
IT;SEM;223518.4817;176933.4391
IT;SEO;35513.45865;0
JP;APP;4658.002976;454.8900524
JP;BM;16498.70612;73812.29451
JP;DEA;2392.351649;4110.583211
JP;SEM;15775.71428;25363.71429
JP;SEO;10109.79048;0
KR;APP;2640.696429;1.346297681
KR;BM;4830.057143;30208.04101
KR;DEA;182.9145729;512.8053294
KR;SEM;4186.544503;7946.419142
KR;SEO;504.6896552;0
MX;APP;2942.024408;2.620933522
MX;BM;32306.79883;58156.16327
MX;DEA;3619.758242;3914.414652
MX;SEM;27552.06007;34384.56017
MX;SEO;6865.333333;0
MY;APP;4484.547964;0
MY;BM;11747.57143;12211.4628
MY;DEA;1397.746341;2575.5
MY;SEM;6212.854258;10560.56585
MY;SEO;5215.286462;0
NL;APP;4834.4446;1664.81203
NL;BM;50110.97824;75613.32039
NL;DEA;12210.93715;16634.27046
NL;SEM;53009.86581;56206.18557
NL;SEO;7590.052356;0
NO;APP;1605.444607;832.1125093
NO;BM;20296.875;29242.26274
NO;DEA;4798.608247;5618.396408
NO;SEM;21921.43568;22703.42718
NO;SEO;1819.917143;0
NZ;APP;1918.583333;1234.662799
