CountryKey;Department;Total Revenues;Total Spend
AA;APP;1975.006487;377.2900783
AA;BM;3023.807073;10952.21518
AA;DEA;643.7033653;630.9207036
AA;SEM;8523.145605;18269.01293
AA;SEO;1041.744792;0
AE;APP;4347.885228;2479.201615
AE;BM;8469.36867;5949.482046
AE;DEA;894.2871943;788.4571515
AE;SEM;4043.036955;5493.929003
AE;SEO;1793.199391;0
ALL;APP;180054.5745;27595.62396
ALL;BM;2109703.092;2502414.771
ALL;DEA;360571.5477;350240.451
ALL;SEM;1739773.846;1472260.065
ALL;SEO;336048.593;0
AR;APP;274.9333333;0
AR;BM;4601.695751;10766.875
AR;DEA;1081.610187;1098.836533
AR;SEM;5041.932398;10418.65616
AR;SEO;656.3039724;0
AT;APP;1950.500905;231.4812738
AT;BM;26325.04787;32534.21336
AT;DEA;1788.379971;1950.115643
AT;SEM;21777.64498;26869.33923
AT;SEO;4266.306159;0
AU;APP;5161.95836;1345.840168
AU;BM;49625.52012;41590.7017
AU;DEA;6373.174813;5603.146519
AU;SEM;26290.60123;25756.58447
AU;SEO;11501.50754;0
BE;APP;1090.670682;213.651992
BE;BM;16048.58523;21355.31135
BE;DEA;3733.92555;6601.370698
BE;SEM;12859.88489;14110.50322
BE;SEO;2551.451916;0
BG;APP;109.6042629;0
BG;BM;2208.066395;4237.012274
BG;DEA;0.977951237;0
BG;SEM;4213.025587;6977.667561
BG;SEO;534.3632593;0
BR;APP;2994.504991;0
BR;BM;34944.74974;47062.54549
BR;DEA;2250.666809;3476.292457
BR;SEM;26846.61075;30550.93169
BR;SEO;5893.54823;0
CA;APP;8464.720817;2333.277194
CA;BM;132128.7681;109175.2256
CA;DEA;12602.36071;12306.15758
CA;SEM;89215.92233;76358.44781
CA;SEO;12671.08183;0
CH;APP;2315.334467;284.0871022
CH;BM;19107.02846;33518.86802
CH;DEA;998.6172404;1349.403465
CH;SEM;21458.91403;24085.74357
CH;SEO;3941.016818;0
CL;APP;82.13891373;0
CL;BM;876.2897746;3797.488747
CL;DEA;193.1570865;238.3084577
CL;SEM;1199.062314;2133.693002
CL;SEO;169.3828234;0
CN;APP;561.7519093;0
CN;BM;334.8844762;2717.221773
CN;DEA;0.772968528;0
CN;SEM;110.2483161;779.3396535
CN;SEO;163.7799043;0
CO;APP;332.8878227;0
CO;BM;3682.64;8177.306536
CO;DEA;340.6024067;598.2233671
CO;SEM;2637.983326;4724.947186
CO;SEO;714.415282;0
CZ;APP;178.9190852;0
CZ;BM;3734.703087;9058.27782
CZ;DEA;501.2334605;725.3837072
CZ;SEM;2983.387032;4190.126625
CZ;SEO;507.0447411;0
DE;APP;18567.46874;1162.265229
DE;BM;225954.5788;176771.4736
DE;DEA;37835.35466;40833.71335
DE;SEM;229666.9632;182367.5982
DE;SEO;42051.80778;0
DK;APP;2278.947855;515.7067803
DK;BM;25363.63112;21468.69176
DK;DEA;3354.616517;4932.608149
DK;SEM;29083.26827;32430.89343
DK;SEO;2992.752297;0
ES;APP;9873.876737;869.3508457
ES;BM;151260.3059;96631.16667
ES;DEA;28246.3845;25375.62475
ES;SEM;110394.5898;89585.15209
ES;SEO;40056.09789;0
FI;APP;920.2116243;75.10274713
FI;BM;30280.35807;22432.19346
FI;DEA;1979.061019;3391.406592
FI;SEM;14637.45985;14871.94614
FI;SEO;5871.842184;0
FR;APP;3978.135254;710.216497
FR;BM;42711.8865;83960.70605
FR;DEA;13319.39407;16289.71742
FR;SEM;49397.25678;54465.93196
FR;SEO;13267.05091;0
GR;APP;244.9747475;0
GR;BM;4503.870513;11865.02976
GR;DEA;641.1088258;626.5380952
GR;SEM;5464.583725;5382.012145
GR;SEO;3100.320953;0
HK;APP;10232.19876;634.5458153
HK;BM;21234.73353;18197.33049
HK;DEA;4796.46539;4340.800086
HK;SEM;6828.657265;9823.510467
HK;SEO;2217.781204;0
HR;APP;1.096536176;0
HR;BM;176.1987578;680.0225618
HR;DEA;13.64849298;12.69807
HR;SEM;3.963116091;10.52329973
HR;SEO;1.47275405;0
HU;APP;89.41936768;0
HU;BM;3196.594172;8861.389382
HU;DEA;540.3624153;691.1432586
