CountryKey;Department;Total Revenues;Total Spend
AA;APP;0.948979592;0
AA;BM;1410.068165;2690
AA;DEA;7.323076923;0
AA;SEM;61.74603177;0
AA;SEO;52.23214286;0
AE;APP;1487.591209;0
AE;BM;4742.239304;5833.234285
AE;DEA;85.17708333;79.50777936
AE;SEM;1702.617801;2440.926795
AE;SEO;228.0609137;0
ALL;APP;192861.6305;13777.68741
ALL;BM;2378911.412;2370401.86
ALL;DEA;303352.8447;319746.589
ALL;SEM;1271207.812;1334664.19
ALL;SEO;370800.4494;0
AR;APP;140.4642857;0
AR;BM;3703.000748;5973.875956
AR;DEA;1154.871646;1426.463361
AR;SEM;2994.592965;5342.542722
AR;SEO;458.0571429;0
AT;APP;2452.202381;0
AT;BM;40380.17893;44360.31062
AT;DEA;3778.327526;4669.785714
AT;SEM;17686.03257;15240.20952
AT;SEO;5778.781138;0
AU;APP;9587.655502;1568.719212
AU;BM;150924.0474;150379.0629
AU;DEA;10478.98776;9457.04904
AU;SEM;57301.74808;55755.6945
AU;SEO;32717.30486;0
BE;APP;1419.8724;0
BE;BM;24011.44437;25648.41176
BE;DEA;487.396003;732.3663005
BE;SEM;13602.87129;13824.36
BE;SEO;3713.285715;0
BG;APP;19.32984293;0
BG;BM;693.8320171;1387.969925
BG;DEA;0.724946695;0
BG;SEM;1276.425121;1833.75
BG;SEO;262.9672474;0
BR;APP;4850.413315;0
BR;BM;57940.15038;64540.91487
BR;DEA;5247.197632;5498.167582
BR;SEM;21061.18593;28954.71429
BR;SEO;9055.198204;0
CA;APP;6839.84375;886.1344539
CA;BM;120029.43;102390.38
CA;DEA;13951.52517;18571.9611
CA;SEM;43954.58095;43621.1547
CA;SEO;10577.03976;0
CH;APP;4075.132807;0
CH;BM;36400.43137;51909.70273
CH;DEA;2154.146341;2582.742857
CH;SEM;22896.20619;23202.71137
CH;SEO;5433.867595;0
CL;APP;49.52473868;0
CL;BM;920.6993602;232.7928572
CL;DEA;646.9708304;644.2182342
CL;SEM;1206.630495;3129.537415
CL;SEO;231.1622746;0
CN;APP;357.6259489;0
CN;BM;297.0262391;1157.313995
CN;DEA;1.595358956;0
CN;SEM;167.2588401;807.124003
CN;SEO;37.78315018;0
CO;APP;258.6315789;0
CO;BM;5459.32773;15411.95518
CO;DEA;918.8742005;483.5632652
CO;SEM;2402.344023;3736.092784
CO;SEO;570.5923346;0
CZ;APP;157.6467276;0
CZ;BM;3771.885714;4049.548105
CZ;DEA;658.3665222;532.8235294
CZ;SEM;2531.342995;3566.770123
CZ;SEO;274.1428572;0
DE;APP;30512.32978;257.9750347
DE;BM;378136.0612;348823.1355
DE;DEA;48605.90379;50212.99341
DE;SEM;192694.2584;190579
DE;SEO;73817.25;0
DK;APP;2280.582524;0
DK;BM;29263.44315;18416.4272
DK;DEA;2630.389611;3087.289916
DK;SEM;16145.04167;16740.34921
DK;SEO;3366.768778;0
ES;APP;5522.740385;0
ES;BM;99529.49361;2291.982857
ES;DEA;16795.42857;15000.49572
ES;SEM;61402.0843;54742.67891
ES;SEO;38620.16739;0
FI;APP;1046.910714;8.456553758
FI;BM;38011.53794;27988.08498
FI;DEA;2100.096167;2794.393746
FI;SEM;10673.1687;9599.1
FI;SEO;7190.62632;0
FR;APP;5225.567839;0
FR;BM;75153.05305;92467.28155
FR;DEA;11521.51724;13957.85714
FR;SEM;54144.62639;47867.31598
FR;SEO;14458.13527;0
GR;APP;159.4285714;0
GR;BM;3090.563226;82.49040512
GR;DEA;488.7628866;531.4148351
GR;SEM;1508.918367;1410.304011
GR;SEO;1665.042191;0
HK;APP;11097.90718;0.682926829
HK;BM;40455.81232;49588.26923
HK;DEA;5890.800298;5028.529412
HK;SEM;5860.652237;9743.188406
HK;SEO;2634.542274;0
HR;APP;0;0
HR;BM;0;0
HR;DEA;0;0
HR;SEM;0;0
HR;SEO;0;0
HU;APP;57.61065876;0
HU;BM;1515.724236;40.25
HU;DEA;119.4424411;197.5411256
HU;SEM;2987.423103;4278.402332
HU;SEO;206.7;0
ID;APP;733.5824174;0
ID;BM;2024.878911;4506.443064
ID;DEA;129.1988514;162.1428572
ID;SEM;439.2296919;1334.375635
ID;SEO;95.74909355;0
IE;APP;3750.708074;37.94642857
IE;BM;43827.42857;15296.125
IE;DEA;7219.444054;8561.752577
IE;SEM;24398.85715;31099.34736
IE;SEO;11632.55172;0
IL;APP;187.6648351;0
IL;BM;1534.603175;1166.92437
IL;DEA;313.1215352;394.6004141
IL;SEM;3159.401155;6233.876923
IL;SEO;99.3857143;0
IN;APP;402.3391054;0
IN;BM;7929.532092;24751.0834
IN;DEA;11.28708791;0
IN;SEM;1756.201681;2807.044286
IN;SEO;980.0812183;0
IT;APP;9680.179843;0
IT;BM;95115.625;61109.96086
IT;DEA;14971.92302;11260.26968
IT;SEM;52346.56566;51814.96791
IT;SEO;17954.62799;0
JP;APP;374.2732919;0
JP;BM;2416.893204;8567.023688
JP;DEA;379.4411765;905.5678392
JP;SEM;2894.796229;7404.935066
JP;SEO;661.112857;0
KR;APP;496.2118933;0
KR;BM;2205.074176;7828.387755
KR;DEA;306.1042857;476.1568627
KR;SEM;1367.971429;1984.243902
KR;SEO;294.4028572;0
MX;APP;498.6098899;0
MX;BM;10345.70028;33715.1638
MX;DEA;1049.76;1472.196337
MX;SEM;4647.669468;7260.335965
MX;SEO;1674.956938;0
MY;APP;3462.244898;495.4200847
MY;BM;12789.13709;15515.15122
MY;DEA;776.8275862;1134.75
MY;SEM;1523.470631;3467.293078
MY;SEO;4533.601465;0
NL;APP;2253.682699;0
