CountryKey;Department;Total Revenues;Total Spend
AA;APP;1160.163265;1007.915179
AA;BM;2814.819746;7350.65126
AA;DEA;2237.685856;1731.2657
AA;SEM;3235.744743;3929.864507
AA;SEO;911.1586503;0
AE;APP;4555.807638;2810.799727
AE;BM;6576.502974;3072.788177
AE;DEA;905.142857;1219.145772
AE;SEM;3848.086957;4871.885714
AE;SEO;2287.633884;0
ALL;APP;265314.2349;71955.44599
ALL;BM;1788964.824;862393.65
ALL;DEA;372080;425276.1064
ALL;SEM;1454427.695;1680506.269
ALL;SEO;310845.7587;0
AR;APP;1162.638909;673.6889512
AR;BM;22941.69964;16476.20272
AR;DEA;6723.280113;5608.247423
AR;SEM;19089.25857;25063.53846
AR;SEO;2389.256574;0
AT;APP;1959.894958;445.5485715
AT;BM;21807.22239;238.1491289
AT;DEA;3502.833938;3799.790941
AT;SEM;19246.36735;19831.90021
AT;SEO;4204.249456;0
AU;APP;8225.333333;2759.575847
AU;BM;75224.36548;65248.61517
AU;DEA;11168.6114;11542.26907
AU;SEM;49052.36098;63157.2376
AU;SEO;19396.24016;0
BE;APP;1279.717201;97.74025975
BE;BM;15386.94706;184.1517857
BE;DEA;3179.765458;4130.760989
BE;SEM;15542.55182;17004.17493
BE;SEO;2346.285714;0
BG;APP;51.79718727;13.82798834
BG;BM;750.7545078;19.15178571
BG;DEA;212.104152;234.122449
BG;SEM;1913.294201;2634.241332
BG;SEO;172.543554;0
BR;APP;12312.26521;5562.571427
BR;BM;120414.3061;74664.97957
BR;DEA;11665.70308;15809.3738
BR;SEM;51926.27459;61459.37799
BR;SEO;13361.4723;0
CA;APP;9402.87966;4115.816327
CA;BM;100893.8332;48654.48571
CA;DEA;16561.59143;14497.4216
CA;SEM;66764.61929;61232.5
CA;SEO;10828.93642;0
CH;APP;3234.571429;658.3294598
CH;BM;21695.36446;245.2763819
CH;DEA;1713.177143;2587.843079
CH;SEM;25281.06122;28559.55572
CH;SEO;4067.948718;0
CL;APP;286.5306123;45.35064935
CL;BM;2953.960591;1958.314286
CL;DEA;559.9120877;757.8238342
CL;SEM;2496.092478;4348.959778
CL;SEO;305.2408163;0
CN;APP;793.197279;52.06671503
CN;BM;700.7213579;4486.977003
CN;DEA;1.276005548;0
CN;SEM;517.0793652;2929.262585
CN;SEO;65.37637361;0
CO;APP;1075.306122;237.7270789
CO;BM;10931.80715;18395.72829
CO;DEA;886.5554751;542.3265305
CO;SEM;7165.412371;11243.74286
CO;SEO;1745.192308;0
CZ;APP;144.3842365;3.1292517
CZ;BM;2668.940594;2080.781229
CZ;DEA;228.3101221;313.355102
CZ;SEM;2419.640816;3285.913589
CZ;SEO;402.8127313;0
DE;APP;27053.35171;3114.42449
DE;BM;285211.5736;3940.729361
DE;DEA;54688.91696;52226.355
DE;SEM;207725.3731;201073.5976
DE;SEO;45219.19882;0
DK;APP;1789.714286;364.3804878
DK;BM;15026.20281;194.4285714
DK;DEA;5339.948051;5919.70745
DK;SEM;18007.60028;20182.72188
DK;SEO;2719.822711;0
EC;APP;1.065877128;0
EC;BM;196.0103627;0
EC;DEA;7.533381191;0
EC;SEM;0.135785007;0
EC;SEO;17.51785714;0
ES;APP;6429.258797;2250.590674
ES;BM;104328.0459;28619.04762
ES;DEA;19085.23077;20123.60279
ES;SEM;67532.6846;63428.43722
ES;SEO;25525.37087;0
FI;APP;866.6712898;8.755102043
FI;BM;22332.79563;225.8972555
FI;DEA;2319.47924;3417.758794
FI;SEM;14202.5;13441.56925
FI;SEO;5044.291398;0
FR;APP;4144.359535;877.872024
FR;BM;40623.44498;2454.503536
FR;DEA;19099.9252;18522.56299
FR;SEM;59609.60643;47208.8826
FR;SEO;11487.34088;0
GR;APP;207.2091311;17.87270155
GR;BM;3638.123077;105.6377307
GR;DEA;972.4;933.9591838
GR;SEM;2985.459184;2480.245098
GR;SEO;1436.059066;0
HK;APP;20312.72401;4696.166181
HK;BM;25452.56868;6424.546585
HK;DEA;8769.002745;9868.742857
HK;SEM;6946.903553;9418.767856
HK;SEO;2064.84196;0
HR;APP;16.4408992;0
HR;BM;89.88260252;3.632850242
HR;DEA;51.37790291;1.029411765
HR;SEM;33.64824121;53.36683417
HR;SEO;7.39047619;0
HU;APP;45.1948052;0
HU;BM;1300.86418;93.35064934
HU;DEA;344;433.4809274
HU;SEM;3426.407767;4369.024631
HU;SEO;173.1818182;0
ID;APP;1726.10989;1064.563107
ID;BM;4293.694581;18196.16839
ID;DEA;775.2043954;1089.278642
ID;SEM;2443.751196;5646.273108
ID;SEO;194.3434343;0
IE;APP;3433.536946;764.4598214
IE;BM;36201.35679;740.0136052
IE;DEA;7942.835821;9454.252693
IE;SEM;23809.2;26680.71428
IE;SEO;6682.624911;0
IL;APP;1065.75;257.1287129
IL;BM;6751.174452;200.5714286
IL;DEA;1028.977444;2041.862857
IL;SEM;7922.692683;11533.77056
IL;SEO;405.9042785;0
IN;APP;1611.848214;686.3715767
IN;BM;11655.77393;21175.4739
IN;DEA;1060.721501;1424.895978
IN;SEM;8505.154639;13423.48052
IN;SEO;1993.673677;0
IT;APP;11640.41667;3051.471004
IT;BM;97756.71429;37403.51627
IT;DEA;13502.27136;11247.07253
IT;SEM;84585.07031;69296.24
IT;SEO;15626.42857;0
JP;APP;1993.796117;112.235963
JP;BM;7587.21102;12633.15789
JP;DEA;1714.723032;1764.428571
JP;SEM;7926.967565;10835.84416
JP;SEO;3563.339194;0
KR;APP;1757.995736;14.46821241
KR;BM;3831.069036;18496.23927
KR;DEA;287.6411318;510.3198294
KR;SEM;4550.769231;8686.032692
KR;SEO;366.8654646;0
MX;APP;4437.349897;1846.644727
MX;BM;40336.92517;39869.36134
MX;DEA;4127.596639;3744.191443
MX;SEM;27983.59596;31795.88462
MX;SEO;6845.583333;0
MY;APP;7533.668801;4272.10084
MY;BM;21210.35533;31154.71062
MY;DEA;2383.933955;2374.439791
MY;SEM;9841.945053;13901.08132
MY;SEO;7702.17959;0
NL;APP;2206.363636;29.18367347
NL;BM;23237.89816;317.8470419
NL;DEA;6306.447761;8168.53442
NL;SEM;38608.88231;35626.14493
NL;SEO;4520.883117;0
NO;APP;826.5658537;680.1613622
NO;BM;10646.60471;164.2664693
NO;DEA;3766.285714;5167.29064
NO;SEM;13188.72917;15159.03066
NO;SEO;806.1904763;0
NZ;APP;1098.933902;478.2944162
NZ;BM;14818.16072;14602.06731
NZ;DEA;2120.095737;2540.666667
NZ;SEM;15197.58791;17763.68572
NZ;SEO;2623.156727;0
PE;APP;0.53814147;0
PE;BM;303.7142857;0
PE;DEA;12.65306122;0
PE;SEM;0.422419686;0
PE;SEO;18.40816327;0
PH;APP;87.02040816;76.31264026
PH;BM;460.2985075;6.582857145
PH;DEA;51.28078818;139.8606965
PH;SEM;1184.162437;2557.776398
PH;SEO;117.6909621;0
PL;APP;508.0987285;9.332376166
PL;BM;11366.81905;9433.507853
PL;DEA;1993.929972;2596.336996
PL;SEM;11780.21241;13642.03112
PL;SEO;3294.792342;0
PT;APP;419.6923077;170.9405941
PT;BM;5814.997087;138.4388807
PT;DEA;310.5;321.8901099
PT;SEM;4204.894231;3647.519095
PT;SEO;1443.341991;0
RO;APP;74.79521463;8.181818182
RO;BM;541.0845771;26.80203046
RO;DEA;73.2732316;110.4670051
RO;SEM;2173.20911;3199.282125
RO;SEO;172.5490196;0
RS;APP;15.05631868;3.817378498
RS;BM;558.8153312;10.67821068
RS;DEA;187.167022;286.8209059
RS;SEM;952.4155842;1225.579832
RS;SEO;229.7142857;0
RU;APP;561.0367348;167.8317621
RU;BM;4264.424832;1076.288691
RU;DEA;997.6648351;1912.965326
RU;SEM;5122.997866;6987.866667
RU;SEO;399.0813397;0
SE;APP;3106.845481;574.0976312
SE;BM;26103.25466;4999.800148
SE;DEA;8111.14;9950.714286
SE;SEM;26681.45366;27349.01143
SE;SEO;3120.896358;0
SG;APP;8493.582855;2746.09375
SG;BM;27120.79941;48576.77922
SG;DEA;2431.017857;3214.065934
SG;SEM;9217.878788;12500.20804
SG;SEO;5305.25184;0
SI;APP;28.99502488;7.07
SI;BM;581.5889214;13.31824611
SI;DEA;127.2234432;164.7463557
SI;SEM;662.2829933;903.5777621
SI;SEO;104.9004329;0
SK;APP;30.99928927;0
SK;BM;363.7335165;6.131868133
SK;DEA;7.086807928;6.36
SK;SEM;432.8571429;678.1428573
SK;SEO;28.68292683;0
TH;APP;175.2577171;113.6716418
TH;BM;509.5238095;9.467730239
TH;DEA;205.5538353;237.9067358
TH;SEM;1875.531945;2522.460697
TH;SEO;148.7600555;0
TR;APP;388.6082474;13.88349515
TR;BM;2755.881674;5012.059862
TR;DEA;92.44577414;130.6744017
TR;SEM;2431.118202;3579.076142
TR;SEO;1004.262857;0
TW;APP;3005.614286;664.5714286
TW;BM;7077.809981;14763.70286
TW;DEA;1642.45;1769.609244
TW;SEM;10877.39601;14853.51821
TW;SEO;831.8592965;0
UK;APP;28034.59193;7440.996338
UK;BM;259664.4947;6952.683985
UK;DEA;57148.17391;51105.92855
UK;SEM;243908.8195;217679.7854
UK;SEO;45658.99497;0
US;APP;57646.58163;18010.19048
US;BM;511331.7719;325732.8081
US;DEA;121097.7315;129594.4182
US;SEM;309165.4978;274575.0185
US;SEO;36782.82637;0
UY;APP;0.271708683;0
UY;BM;143.1593407;0
UY;DEA;5.324419424;0
UY;SEM;0;0
UY;SEO;19.35;0
VN;APP;62.67857141;24.2174216
VN;BM;185.9943977;3779.396985
VN;DEA;398.5101045;165.2109549
VN;SEM;761.8021979;1188.452998
VN;SEO;4.980769231;0
ZA;APP;684.7744741;728.2461538
ZA;BM;3735.9777;11330.19417
ZA;DEA;657.4408162;1021.625949
ZA;SEM;3830.470419;5286.285714
ZA;SEO;613.5073892;0
