CountryKey;Department;Total Revenues;Total Spend
AA;APP;675.592262;0
AA;BM;2836.282927;13240.18219
AA;DEA;25.87221824;0
AA;SEM;945.0817343;0
AA;SEO;607.6040609;0
AE;APP;2341.643593;526.8571428
AE;BM;7554.79397;4796.121463
AE;DEA;560.0559644;697.7597072
AE;SEM;2463.826087;3788.533333
AE;SEO;1881.142857;0
ALL;APP;207725.399;26173.81199
ALL;BM;2635923.428;2428195.429
ALL;DEA;350959.869;370685.4511
ALL;SEM;1830581.587;1746166.143
ALL;SEO;445860.7079;0
AR;APP;112.7696514;0
AR;BM;3541.858586;10.13061224
AR;DEA;511.7406379;815.9057438
AR;SEM;782.4285714;1438.698258
AR;SEO;420.0538519;0
AT;APP;2637.383695;48.99702381
AT;BM;39869.82721;37870.92636
AT;DEA;1702.568655;1646.113424
AT;SEM;25960.74374;28204.18676
AT;SEO;7365.559226;0
AU;APP;9923.902855;350.4347826
AU;BM;112419.9973;81898.26087
AU;DEA;12922.76053;15775.86554
AU;SEM;43048.11893;46312.06397
AU;SEO;26763.52991;0
BE;APP;1150.692308;69.90752242
BE;BM;19735.86009;23545.16667
BE;DEA;2321.452506;2955.07177
BE;SEM;12810.64646;12876.38237
BE;SEO;3447.022711;0
BG;APP;32.51768034;0
BG;BM;983.3449478;1412.842262
BG;DEA;0.441690962;0
BG;SEM;1484.199005;2520.367347
BG;SEO;338.5714286;0
BR;APP;5080.325937;888.9972529
BR;BM;69178.48162;65974.21611
BR;DEA;3796.607143;6239.472081
BR;SEM;31443.48026;49184.16608
BR;SEO;10389.07317;0
CA;APP;8593.6446;3394.174757
CA;BM;145172.2759;104385.7824
CA;DEA;12520.53952;12524.28857
CA;SEM;71270.63542;69708.93453
CA;SEO;13472.5551;0
CH;APP;4122.597403;62.38444277
CH;BM;35797.62857;22395.00832
CH;DEA;2048.831169;2836.635078
CH;SEM;32563.75672;33065.55897
CH;SEO;8116.2;0
CL;APP;45.9913855;0
CL;BM;1008.609524;3688.908689
CL;DEA;216.7964113;278.8751733
CL;SEM;472.0755495;1208.214648
CL;SEO;164.5759162;0
CN;APP;486.8193277;41.44329897
