CountryKey;Department;Total Revenues;Total Spend
AA;APP;2039.130064;148.1783972
AA;BM;5952.923762;17831.27375
AA;DEA;1683.379121;2516.314144
AA;SEM;8368.668048;12998.88615
AA;SEO;1609.056995;0
AE;APP;7731.055715;3461.230662
AE;BM;10120.71428;7437.950939
AE;DEA;1631.121321;1531.929648
AE;SEM;6535.857144;10400.87293
AE;SEO;2763.425837;0
ALL;APP;237446.3856;32969.84066
ALL;BM;2329212.025;2282496.135
ALL;DEA;511581.6101;457288.0879
ALL;SEM;1944748.301;1843636.364
ALL;SEO;459742.3467;0
AR;APP;530.3105589;0
AR;BM;11953.01831;15745.51988
AR;DEA;1875.402332;1441.206657
AR;SEM;9842.80203;18583.80952
AR;SEO;1522.953368;0
AT;APP;2491.769964;266.9685715
AT;BM;26754.12527;43170.15544
AT;DEA;2967.708683;3482.285714
AT;SEM;26015.78682;23934.09621
AT;SEO;4861.007896;0
AU;APP;8184;1514.414932
AU;BM;84529.93933;65392.71429
AU;DEA;11627.85714;12359.04201
AU;SEM;46103.17687;59544.18462
AU;SEO;22000.46846;0
BE;APP;1327.461859;27.12380952
BE;BM;18323.79009;18255.6
BE;DEA;3913.170732;4765.285714
BE;SEM;16724.41054;17312.49485
BE;SEO;3315.301587;0
BG;APP;80.8413496;0
BG;BM;1488.549237;2748.542274
BG;DEA;12.39322533;0
BG;SEM;2306.757071;3519.375
BG;SEO;331.1056547;0
BR;APP;4940.098522;0
BR;BM;53366.42859;86968.87958
BR;DEA;4820.724947;6772.720749
BR;SEM;48041.9204;67393.64607
BR;SEO;8570.992261;0
CA;APP;10982.24208;1926.242177
CA;BM;159970.2081;120584.984
CA;DEA;22738.17114;18749.2437
CA;SEM;84732;89577.3913
CA;SEO;18642.12117;0
CH;APP;4551.225526;481.7614139
CH;BM;31629.56361;45292.25018
CH;DEA;2632.951456;3456.39864
CH;SEM;47537.07034;49463.13839
CH;SEO;7024.747039;0
CL;APP;154.9381663;0
CL;BM;2219.252057;4470.79707
CL;DEA;421.6563147;479.2380952
CL;SEM;1405.351649;2875.021008
CL;SEO;235;0
CN;APP;725.5102043;0
CN;BM;771.1315416;4843.390863
CN;DEA;1.216724739;0
CN;SEM;282.0824176;1253.989529
CN;SEO;96.1813187;0
CO;APP;492.3692308;0
CO;BM;5995.763068;15646.61472
CO;DEA;752.4848485;876.1406131
CO;SEM;4989.3;9128.005802
CO;SEO;1215.668394;0
CZ;APP;179.6602701;0
CZ;BM;3516.259205;5279.643228
CZ;DEA;310.3451202;366.122449
CZ;SEM;2897.127526;4634.057143
CZ;SEO;502.8571429;0
DE;APP;26814.47143;1483.487108
DE;BM;333447.2999;84015.24395
DE;DEA;60160.49441;50052.48981
DE;SEM;336171.8248;308401.8557
DE;SEO;60225.45332;0
DK;APP;2079.428571;345.2638987
DK;BM;22732.50517;20238.59373
DK;DEA;4142.138776;5127.244107
DK;SEM;29660.68966;28325.79756
DK;SEO;4259.787836;0
EC;APP;0;0
EC;BM;0;0
EC;DEA;0;0
EC;SEM;0;0
EC;SEO;0;0
ES;APP;8254.487076;238.9243698
ES;BM;140818.2353;87544.51947
ES;DEA;29053.31093;26004.14764
ES;SEM;98029.86667;87661.3599
ES;SEO;36749.96255;0
FI;APP;770.8380952;33.49093546
FI;BM;33172.4771;27161.51244
FI;DEA;3077.203297;3677.639752
FI;SEM;15515.81276;16725.53299
FI;SEO;5944.162087;0
FR;APP;5513.125628;604.4825071
FR;BM;69140.72459;68382.65625
FR;DEA;16383.59747;18880.20879
FR;SEM;67263.90478;66260.46482
FR;SEO;20284.36012;0
GR;APP;273.6562942;0
GR;BM;5241.232777;142.8685715
GR;DEA;813.5416667;863.6650246
GR;SEM;3431.697396;2618.277228
GR;SEO;2029.326923;0
HK;APP;18391.67129;2762.969739
HK;BM;36323.17588;37512.22222
HK;DEA;7466.891603;10767.68159
HK;SEM;9991.285714;11499.93544
HK;SEO;3371.853659;0
HR;APP;18.27619048;0
HR;BM;163.4920635;6.229749634
HR;DEA;9.220779222;0
HR;SEM;57.26804124;118.9705882
HR;SEO;12.76470588;0
