CountryKey;Department;Total Revenues;Total Spend
AA;APP;2301.200294;479.9386761
AA;BM;5269.567978;12563.87565
AA;DEA;2003.621849;2673.621808
AA;SEM;5310.442308;8063.138635
AA;SEO;1329.096447;0
AE;APP;7994.206897;4853.398058
AE;BM;10632;5435.49505
AE;DEA;819.3347547;677.7172314
AE;SEM;7477.319588;10208.63966
AE;SEO;1327.185236;0
ALL;APP;559272.3395;192985.7799
ALL;BM;3474921.385;2631758.578
ALL;DEA;595184.5978;710717.0984
ALL;SEM;2993240.692;2823298.566
ALL;SEO;489155.5622;0
AR;APP;4778.060521;3349.879917
AR;BM;38166.52452;34890.60041
AR;DEA;4271.780105;4296.791878
AR;SEM;23312.38893;21956.49487
AR;SEO;3623.714286;0
AT;APP;5618.582418;2058.571429
AT;BM;54915.6044;51762.63736
AT;DEA;9821.89011;8469.717201
AT;SEM;33687.55981;32380.65366
AT;SEO;7951.659664;0
AU;APP;21580.23621;5181.441238
AU;BM;179456.6714;85624.04882
AU;DEA;18887.07692;18117.40649
AU;SEM;123473.5391;121826.3976
AU;SEO;30546.85714;0
BE;APP;3552.481675;1533.665934
BE;BM;29227.08247;27196.84729
BE;DEA;5723.612245;6600.313187
BE;SEM;24641.72864;22588.14835
BE;SEO;4824.769679;0
BG;APP;77.46192893;0
BG;BM;1009.411079;1677.400589
BG;DEA;764.9424084;1098.204081
BG;SEM;2452.253659;3771.967629
BG;SEO;255.4534159;0
BR;APP;16227.17231;7618.729252
BR;BM;118680.7726;99495.54087
BR;DEA;11468.29412;14118.33503
BR;SEM;50433.47826;54009.10995
BR;SEO;11618.19094;0
CA;APP;17348.91258;6660.162088
CA;BM;149815.2982;106679.703
CA;DEA;21974.4;22195.70692
CA;SEM;105988.3894;102375.2356
CA;SEO;14582.14694;0
CH;APP;9394.149929;2745.982228
CH;BM;73087.23077;39112.71137
CH;DEA;6832.563187;5548.284334
CH;SEM;54251.9397;49261.91329
CH;SEO;10923.12088;0
CL;APP;1141.701031;663.5879397
CL;BM;6075.573604;1851.571428
CL;DEA;838.2745644;726.3283582
CL;SEM;3638.505494;5491.072506
CL;SEO;455.1345754;0
CN;APP;2732.749483;20.42857143
CN;BM;1490.554113;17616.51786
CN;DEA;10.0666171;208.1952618
CN;SEM;553.766234;4046.833579
CN;SEO;191.4805197;0
CO;APP;1917.857143;967.85034
CO;BM;14756.36652;23297.99408
CO;DEA;1004.266667;1131.298702
CO;SEM;9744.696864;12872.73389
CO;SEO;1783.458422;0
CZ;APP;413.6073187;0
CZ;BM;6868.8257;9392.005922
CZ;DEA;1257.636499;1257.636735
CZ;SEM;4684.044169;7304.387755
CZ;SEO;585.2670157;0
DE;APP;50450.02198;11465.7801
DE;BM;499197.7711;199476.8614
DE;DEA;103060.05;92948.1516
DE;SEM;366009.6064;310929.8238
DE;SEO;64360.53644;0
DK;APP;2914.819876;790.9649858
DK;BM;24459.30303;232.064323
DK;DEA;7923.032753;9904.991597
DK;SEM;37174.65934;33705.92071
DK;SEO;3821.445378;0
EC;APP;311.5428571;0
EC;BM;1389.810023;0
EC;DEA;11.79633692;0
EC;SEM;4.462444845;0
EC;SEO;241.5502392;0
ES;APP;16541.21739;5233.184094
