CountryKey;Department;Total Revenues;Total Spend
AA;APP;2579.726829;905.3998632
AA;BM;6886.726529;23760.52828
AA;DEA;2011.897759;2608.285714
AA;SEM;7378.694086;10377.17411
AA;SEO;1223.13575;0
AE;APP;10273.73737;7481.041694
AE;BM;10525.7732;9661.913043
AE;DEA;891.3578641;749.8324607
AE;SEM;7052.236652;8997.551019
AE;SEO;2098.016284;0
ALL;APP;454628.2041;153498.7059
ALL;BM;3626735.56;2934475.08
ALL;DEA;757723.3026;655126.4525
ALL;SEM;2615984.408;2277021.564
ALL;SEO;419393.72;0
AR;APP;3757.072484;1511.270639
AR;BM;31114.70807;25289.81185
AR;DEA;3518.109244;4196.26087
AR;SEM;14957.62814;20555.81881
AR;SEO;2671.982942;0
AT;APP;5280.759943;927.3231621
AT;BM;46907.92297;45279.48927
AT;DEA;8852.123033;9141.546046
AT;SEM;45009.01978;34319.74879
AT;SEO;7352.84472;0
AU;APP;20053.14286;3308.932107
AU;BM;135480.1791;109541.5842
AU;DEA;18498.24863;24270.90909
AU;SEM;102621.3767;102273.4201
AU;SEO;32623.78044;0
BE;APP;4737.795504;1909.297619
BE;BM;33271.19728;31715.86006
BE;DEA;5594.80597;6415.957985
BE;SEM;29613.7882;25353.51812
BE;SEO;7019.1;0
BG;APP;80.857143;0
BG;BM;874.9008885;2364.255563
BG;DEA;611.7044335;1008.418848
BG;SEM;2824.615385;3261.442308
BG;SEO;281.8670441;0
BR;APP;17664.66;6957.938144
BR;BM;134116.5102;86160.77975
BR;DEA;16122.97382;15458.62827
BR;SEM;64135.12768;60436.32353
BR;SEO;12942.79412;0
CA;APP;16108.3261;5577.666419
CA;BM;168059.9224;105196.95
CA;DEA;26442.61392;30211.73604
CA;SEM;105690.1318;93576.19139
CA;SEO;16343.89965;0
CH;APP;9422.578233;4230.380474
CH;BM;70920.6685;46684.04121
CH;DEA;8757.554404;6214.117647
CH;SEM;69919.3651;53722.49513
CH;SEO;10435.32391;0
CL;APP;1010.395044;616.4285716
CL;BM;4932.1875;2994.857143
CL;DEA;645.9478024;706.9678382
CL;SEM;2777.212121;3871.709845
CL;SEO;404.4914876;0
CN;APP;2618.291289;23.78043645
CN;BM;1078.588235;20871.56593
CN;DEA;31.88571429;1021.691848
CN;SEM;343.1428571;2907.183673
CN;SEO;197.7026832;0
CO;APP;1560.900774;220.955617
CO;BM;10171.60572;24809.81845
CO;DEA;1061.385191;1491.182502
CO;SEM;7863.745702;10097.72404
CO;SEO;1488.661349;0
CZ;APP;349.8571429;0
CZ;BM;5379.225897;7131.216364
CZ;DEA;1153.734286;1135.714286
CZ;SEM;4305.742435;6269.408867
CZ;SEO;615.4596886;0
DE;APP;38307.82349;5570.649348
DE;BM;348691.8805;262401.2635
DE;DEA;93402.57145;103001.0678
DE;SEM;300289.7547;287371.1829
DE;SEO;43136.39098;0
DK;APP;3924.328572;771.7925822
DK;BM;28451.59081;19384.18308
DK;DEA;6946.970588;9527.742415
DK;SEM;36760.14286;31301.80724
DK;SEO;3634.334821;0
EC;APP;297.067227;0
EC;BM;1225.549738;0
EC;DEA;3.773691584;0
EC;SEM;82.66202098;54.26804124
EC;SEO;311.8957145;0
ES;APP;14549.46159;2439.915966
ES;BM;150150.3086;97274.49215
ES;DEA;30764.63446;38024.74257
ES;SEM;137143.3119;95815.54786
ES;SEO;37181.27472;0
FI;APP;1322.373626;259.8720682
FI;BM;32869.5104;23300.90909
FI;DEA;3587.625949;6039.130953
FI;SEM;18252.39159;18642.3918
FI;SEO;4674.067961;0
FR;APP;10531.30857;1617.888199
FR;BM;96169.14288;83148.66327
FR;DEA;20644.51456;26711.74879
FR;SEM;106598.1119;88261.82364
FR;SEO;23883.98964;0
GR;APP;486.4937587;0
GR;BM;7507.957358;17559.21464
GR;DEA;1593.563025;1758.916549
GR;SEM;6219.875;5904.74927
GR;SEO;2129.755102;0
HK;APP;27251.29079;5808.721649
HK;BM;38664.2646;54858.06381
HK;DEA;11911.24081;13540.07967
HK;SEM;11201.71;14724.2132
HK;SEO;3529.317073;0
HR;APP;24.15200542;0
HR;BM;128.3328423;10.71572879
HR;DEA;66.38534821;95.60439567
HR;SEM;544.4937587;876.8571429
HR;SEO;20.14925373;0
HU;APP;153.3506495;0
HU;BM;2742.352941;7635.608247
HU;DEA;646.3115578;873.7750174
HU;SEM;4872.240675;5842.350322
HU;SEO;318.4089637;0
ID;APP;2917.295615;429.7536946
ID;BM;5504;73685.90572
ID;DEA;1011.5;1581.622397
ID;SEM;1567.695621;2430.381408
ID;SEO;280.6857143;0
IE;APP;6796.591838;2236.414793
IE;BM;56581.49662;16527.4007
IE;DEA;13302.40476;12517.83096
IE;SEM;43129.74286;38896.9501
IE;SEO;9817.114569;0
IL;APP;2898.008322;2439.261905
IL;BM;10585.20087;9659.1133
IL;DEA;1580.292683;2269.651786
IL;SEM;16169.97551;17176
IL;SEO;1577.745055;0
IN;APP;6831.538462;1791.186238
IN;BM;20986.17493;41770.76923
IN;DEA;3809.764706;3093.022556
IN;SEM;17605.92154;23840.92437
IN;SEO;3553.923621;0
IT;APP;18392.54658;3360.039409
IT;BM;141391.9453;124059.3103
IT;DEA;24570.375;26889.66497
IT;SEM;103751.0466;90558.73405
IT;SEO;19827.79094;0
JP;APP;10273.17857;3628.428571
JP;BM;35643.15333;108029.4837
JP;DEA;4122.981367;3867.091575
JP;SEM;15285.66619;24230.3125
JP;SEO;8183.584823;0
KR;APP;3828.01115;314.7795919
KR;BM;5358.227403;29190.11042
KR;DEA;1268.726249;2207.067358
KR;SEM;5059.77551;7660.348434
KR;SEO;632.8877551;0
MX;APP;10259.02579;6611.853062
MX;BM;50024.38835;39452.77157
MX;DEA;7910.459628;8035.610517
MX;SEM;47193.93826;55674.25121
MX;SEO;9572.71359;0
MY;APP;11384.47847;2021.401646
MY;BM;27815.14286;41272.72024
MY;DEA;2373.582196;2796.428572
MY;SEM;11062.57286;13794.20549
MY;SEO;6608.588832;0
NL;APP;6969.612446;1234.910891
NL;BM;58728.33755;46308.82353
NL;DEA;14009.20911;14900.33193
NL;SEM;64894.47716;65828.44221
NL;SEO;8541.321427;0
NO;APP;1949.96299;894.8952381
NO;BM;21732.04181;26192.28132
NO;DEA;7736.606595;10033.52941
NO;SEM;26255.50376;29215.78022
NO;SEO;1543.685018;0
NZ;APP;5235.256845;1041.58885
NZ;BM;43455.80572;24079.40476
NZ;DEA;4092.524056;4125.257143
NZ;SEM;29562.70486;31389.12682
NZ;SEO;5787.818306;0
PE;APP;499.2071086;0
PE;BM;1900.987013;0
PE;DEA;5.192307692;0
PE;SEM;1245.486851;1785.642498
PE;SEO;401.228849;0
PH;APP;1598.344323;2246.380953
PH;BM;1796.142857;10384.64469
PH;DEA;239.587912;406.1667804
PH;SEM;2578.07967;5136.914287
PH;SEO;339;0
PL;APP;1050.021978;0
PL;BM;19533.41852;37889.45455
PL;DEA;7026.285716;7359.466019
PL;SEM;19646.23738;21515.01387
PL;SEO;4791.018129;0
PT;APP;1151.964654;271.7171717
PT;BM;14108.31683;14281.8724
PT;DEA;3355.582532;3939.176215
PT;SEM;11662.58516;12990.72115
PT;SEO;3151.792717;0
RO;APP;151.9302804;0
RO;BM;711.9489796;492.664388
RO;DEA;446.5888325;532.3233449
RO;SEM;3089.893962;3767.656033
RO;SEO;234.4285714;0
RS;APP;54.35064949;0
RS;BM;639.0914285;2590.082474
RS;DEA;458.6156113;497.7843137
RS;SEM;1179.458128;1150.724638
RS;SEO;299.4719524;0
RU;APP;4022.714286;0
RU;BM;19617.67283;32205.82579
RU;DEA;2963.971292;3432.963753
RU;SEM;16481.64633;25153.15417
RU;SEO;1337.197917;0
SE;APP;5368.770833;1372.114286
SE;BM;45487.6432;34359.2
SE;DEA;15240.64534;16779.91118
SE;SEM;44163.34099;40140.8446
SE;SEO;4690.394139;0
SG;APP;9569.296373;3344.210526
SG;BM;21776.20408;50630.34589
SG;DEA;2643.000704;3275.208791
SG;SEM;10098.57143;13108.95615
SG;SEO;4752.410714;0
SI;APP;93.5804878;0
SI;BM;1453.701923;3061.950495
SI;DEA;704.4747251;495.4992634
SI;SEM;1828.904523;2524.002992
SI;SEO;306.8272251;0
SK;APP;120.8823529;0
SK;BM;1211.185348;21.46080564
SK;DEA;153.1780221;169.186813
SK;SEM;818.8276876;1186.467532
SK;SEO;90.16326524;0
TH;APP;2144.74196;2938.099567
TH;BM;1232.636735;4791.555884
TH;DEA;1186.338462;1494.972003
TH;SEM;6895.220912;10665.66593
TH;SEO;190.7657145;0
TR;APP;951.5204082;0
TR;BM;5335.652428;12201.77665
TR;DEA;716.5048544;821.8129081
TR;SEM;6315.866667;8702.785716
TR;SEO;1867.531207;0
TW;APP;9940.256158;3053.218659
TW;BM;13356.94945;53981.97455
TW;DEA;7801.568453;8490.429311
TW;SEM;12370.93294;20169.96793
TW;SEO;910.7350903;0
UK;APP;53221.66529;10442.06748
UK;BM;460344.3455;257866.676
UK;DEA;78472.32408;69228.10938
UK;SEM;357713.2326;315618.2033
UK;SEO;55498.55091;0
US;APP;140776.3678;47629.85344
US;BM;1052262.286;895681.1373
US;DEA;206289.4737;192941.9748
US;SEM;594563.988;564593.4472
US;SEO;65779.55359;0
UY;APP;202.3739495;0
UY;BM;1152.857143;0
UY;DEA;5.497382199;0
UY;SEM;206.7142857;217.1317073
UY;SEO;235.5679444;0
VN;APP;85.7057145;0
VN;BM;312.3809523;7826.976193
VN;DEA;170.2318623;218.721726
VN;SEM;1133.626794;2823.820159
VN;SEO;19.38209139;0
ZA;APP;1570.942562;833.7114569
ZA;BM;4271.177143;12746.5619
ZA;DEA;615.8113733;1116.935603
ZA;SEM;6199.316062;8371.178044
ZA;SEO;816.9142856;0
